C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
201907;W96-8;60;4987;23847
201907;W96-8;61;859;3364
201907;W96-8;86;25431;165081
201907;W96-8;87;3593;26705
201907;W96-9;1;391836;843867
201907;W96-9;2;202837;438984
201907;W96-9;3;49391;113726
201907;W96-9;4;25815;81039
201907;W96-9;70;8165;22507
201907;W96-9;81;38601;85308
201907;W96-9;60;5404;16835
201907;W96-9;86;16250;58911
201908;W96-1;1;57222;151944
201908;W96-1;2;40022;95780
201908;W96-1;3;9074;23411
201908;W96-1;4;2834;10195
201908;W96-1;70;32144;100634
201908;W96-1;81;1865;5722
201908;W96-1;73;174;815
201908;W96-1;71;266;8166
201908;W96-1;76;1841;27435
201908;W96-1;84;2343;6395
201908;W96-1;60;9488;28092
201908;W96-1;61;4409;15295
201908;W96-1;86;7504;34612
201908;W96-1;87;962;4796
201908;W96-2;1;154966;629068
201908;W96-2;2;150634;507748
201908;W96-2;3;39113;126733
201908;W96-2;4;45223;310993
201908;W96-2;70;123465;798378
201908;W96-2;81;11040;25988
201908;W96-2;73;1676;10068
201908;W96-2;71;1283;24135
201908;W96-2;76;1342;14290
201908;W96-2;83;10555;13890
201908;W96-2;84;11543;60840
201908;W96-2;60;14175;64712
201908;W96-2;61;3923;24674
201908;W96-2;86;37389;274118
201908;W96-2;87;8033;68128
201908;W96-3;1;142490;288276
201908;W96-3;2;112921;219974
201908;W96-3;3;39045;79848
201908;W96-3;4;4287;12017
201908;W96-3;70;27017;67158
201908;W96-3;81;3704;11372
201908;W96-3;71;1027;22486
201908;W96-3;76;3677;58863
201908;W96-3;83;5159;5797
201908;W96-3;84;19674;62948
201908;W96-3;60;16998;42410
201908;W96-3;61;9837;27810
201908;W96-3;86;6748;26769
201908;W96-3;87;3658;16006
201908;W96-4;1;127736;310516
201908;W96-4;2;98439;223696
201908;W96-4;3;53944;137358
201908;W96-4;4;9209;40290
201908;W96-4;70;42318;119893
201908;W96-4;81;9852;25126
201908;W96-4;73;2835;18587
201908;W96-4;71;2446;57996
201908;W96-4;76;3080;28906
201908;W96-4;83;12582;13957
201908;W96-4;84;16067;52477
201908;W96-4;60;15330;52858
201908;W96-4;61;5116;23687
201908;W96-4;86;14839;66556
201908;W96-4;87;6630;41458
201908;W96-5;1;338543;1202800
201908;W96-5;2;251883;755029
201908;W96-5;3;66045;153560
201908;W96-5;4;77747;473974
201908;W96-5;70;51562;190225
201908;W96-5;81;16599;35239
201908;W96-5;73;17955;131233
201908;W96-5;71;1158;25190
201908;W96-5;76;1641;29339
201908;W96-5;83;11638;25674
201908;W96-5;84;19419;65406
201908;W96-5;60;21211;88816
201908;W96-5;61;11520;64941
201908;W96-5;86;62753;398346
201908;W96-5;87;21531;155000
201908;W96-6;1;168588;503788
201908;W96-6;2;154049;420002
201908;W96-6;3;33549;79931
201908;W96-6;4;34040;172551
201908;W96-6;70;53645;164673
201908;W96-6;81;11477;28337
201908;W96-6;73;1685;8403
201908;W96-6;71;1018;21929
201908;W96-6;76;2586;33573
201908;W96-6;83;17691;23133
201908;W96-6;84;10627;42037
201908;W96-6;60;21615;71842
201908;W96-6;61;15347;56576
201908;W96-6;86;24639;136205
201908;W96-6;87;7824;45510
201908;W96-7;1;500743;1961877
201908;W96-7;2;292235;988050
201908;W96-7;3;167339;492355
201908;W96-7;4;97523;607765
201908;W96-7;70;104386;440040
201908;W96-7;81;10476;27520
201908;W96-7;73;3040;16892
201908;W96-7;71;170;3154
201908;W96-7;76;499;4486
201908;W96-7;83;122629;154034
201908;W96-7;84;13383;53266
201908;W96-7;60;34930;158227
201908;W96-7;61;12224;68857
201908;W96-7;86;124834;901264
201908;W96-7;87;24044;186902
201908;W96-8;1;97716;289320
201908;W96-8;2;56839;184628
201908;W96-8;3;24741;67459
201908;W96-8;4;14838;97964
